date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:39	46798/46798	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2019:52:25%20GMT	https://mutationmedia.net/BARBER/?storefront=envato-elements	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/index04b9.html	(from )
13:15:40	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2001%20May%202020%2002:36:26%20GMT	https://mutationmedia.net/robots.txt		(from )
13:15:40	8980/8980	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Nov%202017%2019:18:46%20GMT	https://mutationmedia.net/BARBER/css/base.css	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/css/base.css	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:40	132865/132865	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Nov%202017%2010:13:19%20GMT	https://mutationmedia.net/BARBER/css/bootstrap.css	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/css/bootstrap.css	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:41	18120/18120	---M--	200	added ('OK')	text/css	date:Sat,%2018%20Nov%202017%2023:05:28%20GMT	https://mutationmedia.net/BARBER/css/main.css	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/css/main.css	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:41	4284/4284	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Nov%202017%2010:13:20%20GMT	https://mutationmedia.net/BARBER/css/flexslider.css	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/css/flexslider.css	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:42	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2001%20May%202020%2002:36:26%20GMT	https://mutationmedia.net/BARBER/css/venobox.css	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/css/venobox.css	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:42	131732/131732	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Nov%202017%2010:13:25%20GMT	https://mutationmedia.net/BARBER/css/fonts.css	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/css/fonts.css	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:43	215837/215837	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202017%2010:15:36%20GMT	https://mutationmedia.net/BARBER/img/1.jpg	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/1.jpg	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:43	33390/33390	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2010:17:51%20GMT	https://mutationmedia.net/BARBER/img/signature.png	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/signature.png	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:43	229851/229851	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2010:15:55%20GMT	https://mutationmedia.net/BARBER/img/3.png	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/3.png	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:43	275084/275084	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202017%2010:15:46%20GMT	https://mutationmedia.net/BARBER/img/2.jpg	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/2.jpg	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:43	62814/62814	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2010:16:11%20GMT	https://mutationmedia.net/BARBER/img/5.png	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/5.png	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:43	253708/253708	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202017%2010:16:07%20GMT	https://mutationmedia.net/BARBER/img/4.jpg	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/4.jpg	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:43	51391/51391	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2010:16:15%20GMT	https://mutationmedia.net/BARBER/img/6.png	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/6.png	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:44	62038/62038	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2010:16:18%20GMT	https://mutationmedia.net/BARBER/img/7.png	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/7.png	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:44	71499/71499	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2010:16:22%20GMT	https://mutationmedia.net/BARBER/img/8.png	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/8.png	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:44	75212/75212	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2010:16:25%20GMT	https://mutationmedia.net/BARBER/img/9.png	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/9.png	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:45	136222/136222	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202017%2010:16:31%20GMT	https://mutationmedia.net/BARBER/img/10.jpg	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/10.jpg	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:45	92205/92205	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202017%2010:16:40%20GMT	https://mutationmedia.net/BARBER/img/12.jpg	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/12.jpg	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:46	104597/104597	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202017%2010:16:36%20GMT	https://mutationmedia.net/BARBER/img/11.jpg	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/11.jpg	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:46	456238/456238	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202017%2010:17:07%20GMT	https://mutationmedia.net/BARBER/img/14.jpg	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/14.jpg	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:46	164859/164859	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202017%2010:17:37%20GMT	https://mutationmedia.net/BARBER/img/19.jpg	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/19.jpg	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:47	150170/150170	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202017%2010:17:43%20GMT	https://mutationmedia.net/BARBER/img/20.jpg	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/20.jpg	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:47	70273/70273	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2010:17:23%20GMT	https://mutationmedia.net/BARBER/img/16.png	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/16.png	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:47	68756/68756	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2010:17:25%20GMT	https://mutationmedia.net/BARBER/img/17.png	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/17.png	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:47	81285/81285	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2010:17:30%20GMT	https://mutationmedia.net/BARBER/img/18.png	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/18.png	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:48	140753/140753	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202017%2010:17:49%20GMT	https://mutationmedia.net/BARBER/img/21.jpg	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/21.jpg	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:48	97163/97163	---M--	200	added ('OK')	application/javascript	date:Wed,%2015%20Nov%202017%2010:18:04%20GMT	https://mutationmedia.net/BARBER/js/jquery-1.12.4.min.js	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/js/jquery-1.12.4.min.js	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:48	16977/16977	---M--	200	added ('OK')	application/javascript	date:Wed,%2015%20Nov%202017%2010:18:06%20GMT	https://mutationmedia.net/BARBER/js/jquery.flexslider-min.js	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/js/jquery.flexslider-min.js	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
13:15:48	350482/350482	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202017%2010:17:20%20GMT	https://mutationmedia.net/BARBER/img/15.jpg	C:/xampp/htdocs/barbearia/mutationmedia.net/BARBER/img/15.jpg	(from https://mutationmedia.net/BARBER/?storefront=envato-elements)
